nome_da_imagem,categoria_detectada,acuracia
Apple___Black_rot_02186b4f-a9e1-4d19-ae3d-6cfb0f4b106a___JR_FrgE.S 2828.JPG,doente,0.9288
Apple___Black_rot_02186b4f-a9e1-4d19-ae3d-6cfb0f4b106a___JR_FrgE.S 2828_270deg.JPG,doente,0.9915
Apple___Black_rot_02186b4f-a9e1-4d19-ae3d-6cfb0f4b106a___JR_FrgE.S 2828_90deg.JPG,doente,0.9781
Apple___Black_rot_02186b4f-a9e1-4d19-ae3d-6cfb0f4b106a___JR_FrgE.S 2828_new30degFlipLR.JPG,doente,0.8898
Apple___Black_rot_02859ed3-f56a-4315-82a5-c1cb72717225___JR_FrgE.S 8584.JPG,saudavel,0.9247
Apple___Black_rot_02859ed3-f56a-4315-82a5-c1cb72717225___JR_FrgE.S 8584_270deg.JPG,saudavel,0.8971
Apple___Black_rot_02859ed3-f56a-4315-82a5-c1cb72717225___JR_FrgE.S 8584_90deg.JPG,doente,0.5252
Apple___Black_rot_028d1f49-303d-46b6-ae2b-50862fab78ca___JR_FrgE.S 2748.JPG,doente,0.5552
Apple___Black_rot_028d1f49-303d-46b6-ae2b-50862fab78ca___JR_FrgE.S 2748_new30degFlipLR.JPG,saudavel,0.9657
Apple___Cedar_apple_rust_025b2b9a-0ec4-4132-96ac-7f2832d0db4a___FREC_C.Rust 3655.JPG,doente,0.9847
Apple___Cedar_apple_rust_025b2b9a-0ec4-4132-96ac-7f2832d0db4a___FREC_C.Rust 3655_180deg.JPG,doente,0.9861
Apple___Cedar_apple_rust_025b2b9a-0ec4-4132-96ac-7f2832d0db4a___FREC_C.Rust 3655_270deg.JPG,doente,0.9845
Apple___Cedar_apple_rust_025b2b9a-0ec4-4132-96ac-7f2832d0db4a___FREC_C.Rust 3655_90deg.JPG,doente,0.996
Apple___Cedar_apple_rust_025b2b9a-0ec4-4132-96ac-7f2832d0db4a___FREC_C.Rust 3655_new30degFlipLR.JPG,doente,0.8969
Apple___Cedar_apple_rust_025b2b9a-0ec4-4132-96ac-7f2832d0db4a___FREC_C.Rust 3655_new30degFlipTB.JPG,doente,0.9777
Apple___Cedar_apple_rust_0321e067-d13b-47d0-b3a6-76ba6f357d02___FREC_C.Rust 3667.JPG,doente,0.9317
Apple___Cedar_apple_rust_0321e067-d13b-47d0-b3a6-76ba6f357d02___FREC_C.Rust 3667_180deg.JPG,doente,0.9895
Apple___Cedar_apple_rust_0321e067-d13b-47d0-b3a6-76ba6f357d02___FREC_C.Rust 3667_new30degFlipLR.JPG,doente,0.8546
Apple___Cedar_apple_rust_0321e067-d13b-47d0-b3a6-76ba6f357d02___FREC_C.Rust 3667_new30degFlipTB.JPG,doente,0.8805
Apple___Cedar_apple_rust_0321e067-d13b-47d0-b3a6-76ba6f357d02___FREC_C.Rust 3667_newGRR.JPG,doente,0.9375
Apple___Cedar_apple_rust_0321e067-d13b-47d0-b3a6-76ba6f357d02___FREC_C.Rust 3667_newPixel25.JPG,doente,0.9597
Apple___Cedar_apple_rust_0340baaa-e9cc-4c04-8f9b-c204180d9ae3___FREC_C.Rust 3805.JPG,doente,0.9963
Apple___Cedar_apple_rust_0340baaa-e9cc-4c04-8f9b-c204180d9ae3___FREC_C.Rust 3805_180deg.JPG,doente,0.9993
Apple___Cedar_apple_rust_0340baaa-e9cc-4c04-8f9b-c204180d9ae3___FREC_C.Rust 3805_270deg.JPG,doente,0.9961
Apple___Cedar_apple_rust_0340baaa-e9cc-4c04-8f9b-c204180d9ae3___FREC_C.Rust 3805_90deg.JPG,doente,0.9994
Apple___Cedar_apple_rust_0340baaa-e9cc-4c04-8f9b-c204180d9ae3___FREC_C.Rust 3805_new30degFlipLR.JPG,doente,0.9849
Apple___Cedar_apple_rust_0340baaa-e9cc-4c04-8f9b-c204180d9ae3___FREC_C.Rust 3805_newGRR.JPG,doente,0.9933
Apple___Cedar_apple_rust_0340baaa-e9cc-4c04-8f9b-c204180d9ae3___FREC_C.Rust 3805_newPixel25.JPG,doente,0.9541
Apple___Cedar_apple_rust_04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394.JPG,doente,0.9962
Apple___Cedar_apple_rust_04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394_270deg.JPG,doente,0.9905
Apple___Cedar_apple_rust_04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394_90deg.JPG,doente,0.9992
Apple___Cedar_apple_rust_04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394_new30degFlipTB.JPG,saudavel,0.8203
Apple___Cedar_apple_rust_04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394_newGRR.JPG,doente,0.9493
Apple___Cedar_apple_rust_04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394_newPixel25.JPG,doente,0.984
Apple___Cedar_apple_rust_052e3deb-0499-4685-bc39-cea7f1df0700___FREC_C.Rust 3742_180deg.JPG,doente,0.9964
Apple___Cedar_apple_rust_052e3deb-0499-4685-bc39-cea7f1df0700___FREC_C.Rust 3742_270deg.JPG,doente,0.983
Apple___Cedar_apple_rust_052e3deb-0499-4685-bc39-cea7f1df0700___FREC_C.Rust 3742_90deg.JPG,doente,0.9877
Apple___Cedar_apple_rust_052e3deb-0499-4685-bc39-cea7f1df0700___FREC_C.Rust 3742_new30degFlipLR.JPG,doente,0.7032
Apple___Cedar_apple_rust_052e3deb-0499-4685-bc39-cea7f1df0700___FREC_C.Rust 3742_new30degFlipTB.JPG,saudavel,0.559
Cherry_(including_sour)___Powdery_mildew_00705aa7-5ea2-4419-9440-8ba65e108eb9___FREC_Pwd.M 0267.JPG,saudavel,0.7008
Cherry_(including_sour)___Powdery_mildew_00705aa7-5ea2-4419-9440-8ba65e108eb9___FREC_Pwd.M 0267_flipLR.JPG,saudavel,0.7615
Cherry_(including_sour)___Powdery_mildew_00b7df55-c789-43d6-a02e-a579ac9d07e6___FREC_Pwd.M 4748.JPG,doente,0.6761
Cherry_(including_sour)___Powdery_mildew_00b7df55-c789-43d6-a02e-a579ac9d07e6___FREC_Pwd.M 4748_flipLR.JPG,doente,0.5988
Cherry_(including_sour)___Powdery_mildew_00d12ac0-a293-47e0-a4c6-a80f37204c39___FREC_Pwd.M 4812.JPG,doente,0.621
Cherry_(including_sour)___Powdery_mildew_00d12ac0-a293-47e0-a4c6-a80f37204c39___FREC_Pwd.M 4812_flipLR.JPG,doente,0.6915
Cherry_(including_sour)___Powdery_mildew_00e0a4ab-ecbd-4560-a71c-b19d86bb087c___FREC_Pwd.M 4917_flipLR.JPG,saudavel,0.598
Cherry_(including_sour)___Powdery_mildew_00f8611c-0f2c-4f24-8241-d1748c8bb48f___FREC_Pwd.M 0479.JPG,doente,0.9791
Cherry_(including_sour)___Powdery_mildew_00f8611c-0f2c-4f24-8241-d1748c8bb48f___FREC_Pwd.M 0479_flipLR.JPG,doente,0.9847
Cherry_(including_sour)___Powdery_mildew_012b55cf-de7a-483a-9118-0fd8ff012185___FREC_Pwd.M 0423.JPG,doente,0.986
Cherry_(including_sour)___Powdery_mildew_02a749ab-890a-4165-9f17-c1e30a56ef41___FREC_Pwd.M 4868.JPG,doente,0.7238
Cherry_(including_sour)___Powdery_mildew_02a749ab-890a-4165-9f17-c1e30a56ef41___FREC_Pwd.M 4868_flipLR.JPG,doente,0.8336
Cherry_(including_sour)___Powdery_mildew_02d6722b-1f47-4f11-b831-be4bba26b158___FREC_Pwd.M 4593.JPG,doente,0.9187
Cherry_(including_sour)___Powdery_mildew_02d6722b-1f47-4f11-b831-be4bba26b158___FREC_Pwd.M 4593_flipLR.JPG,doente,0.9773
Cherry_(including_sour)___Powdery_mildew_02d6c81a-c5dc-4b29-848a-7a0b8c42e5ed___FREC_Pwd.M 4699.JPG,doente,0.9747
Cherry_(including_sour)___Powdery_mildew_02d6c81a-c5dc-4b29-848a-7a0b8c42e5ed___FREC_Pwd.M 4699_flipLR.JPG,doente,0.9832
Cherry_(including_sour)___Powdery_mildew_02ecd449-7b27-44d7-b59e-7e31813f0c18___FREC_Pwd.M 0450_flipLR.JPG,doente,0.9786
Cherry_(including_sour)___Powdery_mildew_03132cd9-1649-4de0-aa41-de6eb60d4878___FREC_Pwd.M 0372.JPG,doente,0.9638
Cherry_(including_sour)___Powdery_mildew_0325a93a-4fa1-4eae-a6a9-fc6baa82ca7f___FREC_Pwd.M 0434_flipLR.JPG,doente,0.9269
Cherry_(including_sour)___Powdery_mildew_03c5abe8-66c5-44d7-af97-3f55b3917610___FREC_Pwd.M 0252.JPG,doente,0.9953
Cherry_(including_sour)___Powdery_mildew_03c5abe8-66c5-44d7-af97-3f55b3917610___FREC_Pwd.M 0252_flipLR.JPG,doente,0.9854
Cherry_(including_sour)___Powdery_mildew_041d97fc-da3d-4420-8f6f-2be0e7070f28___FREC_Pwd.M 0392_flipLR.JPG,doente,0.5631
Cherry_(including_sour)___Powdery_mildew_042944e9-9d32-4655-9c99-3908c8d30e72___FREC_Pwd.M 5152.JPG,doente,0.9935
Cherry_(including_sour)___Powdery_mildew_042944e9-9d32-4655-9c99-3908c8d30e72___FREC_Pwd.M 5152_flipLR.JPG,doente,0.9966
Cherry_(including_sour)___Powdery_mildew_042ef107-ff5c-4b88-8597-70fc7e82f178___FREC_Pwd.M 4624_flipLR.JPG,doente,0.6443
Cherry_(including_sour)___Powdery_mildew_04520e47-2269-475d-8e87-f87eb3bdc315___FREC_Pwd.M 0354_flipLR.JPG,doente,0.8896
Cherry_(including_sour)___Powdery_mildew_04a35542-f567-4ad4-a97f-f472d21d30dd___FREC_Pwd.M 4471_flipLR.JPG,doente,0.9903
Cherry_(including_sour)___Powdery_mildew_04cf30c9-dce7-4c98-8f2c-0464d8751ccb___FREC_Pwd.M 5000.JPG,doente,0.916
Cherry_(including_sour)___Powdery_mildew_04cf30c9-dce7-4c98-8f2c-0464d8751ccb___FREC_Pwd.M 5000_flipLR.JPG,doente,0.8345
Cherry_(including_sour)___Powdery_mildew_04e83ad6-5456-4b00-a293-5537b708950c___FREC_Pwd.M 4928_flipLR.JPG,doente,0.8683
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_00120a18-ff90-46e4-92fb-2b7a10345bd3___RS_GLSp 9357_270deg.JPG,doente,0.9944
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_00120a18-ff90-46e4-92fb-2b7a10345bd3___RS_GLSp 9357_new30degFlipLR.JPG,doente,0.9901
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_00a20f6f-e8bd-4453-9e25-36ea70feb626___RS_GLSp 4655.JPG,doente,0.9988
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_00a20f6f-e8bd-4453-9e25-36ea70feb626___RS_GLSp 4655_270deg.JPG,doente,0.9983
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_00a20f6f-e8bd-4453-9e25-36ea70feb626___RS_GLSp 4655_90deg.JPG,doente,0.9998
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_00a20f6f-e8bd-4453-9e25-36ea70feb626___RS_GLSp 4655_new30degFlipLR.JPG,doente,0.9987
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_0140764c-6157-4995-9ada-9c10b81af3b8___RS_GLSp 4378_90deg.JPG,doente,0.9568
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_0140764c-6157-4995-9ada-9c10b81af3b8___RS_GLSp 4378_new30degFlipLR.JPG,doente,0.9837
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_0157de0c-5b81-44a1-abe8-eecaa6f1261a___RS_GLSp 4287.JPG,doente,0.9797
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_0157de0c-5b81-44a1-abe8-eecaa6f1261a___RS_GLSp 4287_270deg.JPG,doente,0.9065
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_0157de0c-5b81-44a1-abe8-eecaa6f1261a___RS_GLSp 4287_90deg.JPG,doente,0.8544
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_0157de0c-5b81-44a1-abe8-eecaa6f1261a___RS_GLSp 4287_new30degFlipLR.JPG,doente,0.733
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_01a02916-5d4c-4256-936b-6b1a9ee65b11___RS_GLSp 9276.JPG,doente,0.9062
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_01a02916-5d4c-4256-936b-6b1a9ee65b11___RS_GLSp 9276_270deg.JPG,saudavel,0.7851
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_01a02916-5d4c-4256-936b-6b1a9ee65b11___RS_GLSp 9276_90deg.JPG,saudavel,0.8335
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_01a02916-5d4c-4256-936b-6b1a9ee65b11___RS_GLSp 9276_new30degFlipLR.JPG,doente,0.8413
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_02e6c80d-c86f-44ca-9d4c-4b100f92a839___RS_GLSp 4631.JPG,doente,0.9985
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_02e6c80d-c86f-44ca-9d4c-4b100f92a839___RS_GLSp 4631_270deg.JPG,doente,0.7132
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_02e6c80d-c86f-44ca-9d4c-4b100f92a839___RS_GLSp 4631_90deg.JPG,doente,0.7814
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_02e6c80d-c86f-44ca-9d4c-4b100f92a839___RS_GLSp 4631_new30degFlipLR.JPG,doente,0.6663
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_038464d1-47a9-4169-afb1-72c87e568a95___RS_GLSp 4480.JPG,doente,0.9995
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_038464d1-47a9-4169-afb1-72c87e568a95___RS_GLSp 4480_270deg.JPG,doente,0.9701
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_038464d1-47a9-4169-afb1-72c87e568a95___RS_GLSp 4480_90deg.JPG,doente,0.9854
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_038464d1-47a9-4169-afb1-72c87e568a95___RS_GLSp 4480_new30degFlipLR.JPG,doente,0.9864
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_045080ca-8b98-4320-adcc-e431f88c1aaa___RS_GLSp 7313_90deg.JPG,doente,0.8877
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_045080ca-8b98-4320-adcc-e431f88c1aaa___RS_GLSp 7313_new30degFlipLR.JPG,doente,0.9354
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_05daf90f-9100-499f-a4aa-ebc5dfc20adf___RS_GLSp 7335.JPG,doente,0.9481
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_05daf90f-9100-499f-a4aa-ebc5dfc20adf___RS_GLSp 7335_270deg.JPG,doente,0.6917
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_05daf90f-9100-499f-a4aa-ebc5dfc20adf___RS_GLSp 7335_90deg.JPG,doente,0.6654
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_05daf90f-9100-499f-a4aa-ebc5dfc20adf___RS_GLSp 7335_new30degFlipLR.JPG,doente,0.877
Corn_(maize)___Common_rust__RS_Rust 1563.JPG,doente,0.9954
Corn_(maize)___Common_rust__RS_Rust 1563_flipLR.JPG,doente,0.9966
Corn_(maize)___Common_rust__RS_Rust 1564.JPG,doente,0.9956
Corn_(maize)___Common_rust__RS_Rust 1565.JPG,doente,0.9998
Corn_(maize)___Common_rust__RS_Rust 1566.JPG,doente,0.9982
Corn_(maize)___Common_rust__RS_Rust 1566_flipLR.JPG,doente,0.9977
Corn_(maize)___Common_rust__RS_Rust 1567.JPG,doente,0.9974
Corn_(maize)___Common_rust__RS_Rust 1567_flipLR.JPG,doente,0.9984
Corn_(maize)___Common_rust__RS_Rust 1568.JPG,doente,0.9999
Corn_(maize)___Common_rust__RS_Rust 1568_flipLR.JPG,doente,0.9997
Corn_(maize)___Common_rust__RS_Rust 1569.JPG,doente,0.9529
Corn_(maize)___Common_rust__RS_Rust 1569_flipLR.JPG,doente,0.9378
Corn_(maize)___Common_rust__RS_Rust 1570.JPG,doente,0.9994
Corn_(maize)___Common_rust__RS_Rust 1570_flipLR.JPG,doente,0.998
Corn_(maize)___Common_rust__RS_Rust 1571.JPG,doente,0.9925
Corn_(maize)___Common_rust__RS_Rust 1571_flipLR.JPG,doente,0.9913
Corn_(maize)___Common_rust__RS_Rust 1572.JPG,doente,0.9956
Corn_(maize)___Common_rust__RS_Rust 1572_flipLR.JPG,doente,0.9992
Corn_(maize)___Common_rust__RS_Rust 1573.JPG,doente,0.9947
Corn_(maize)___Common_rust__RS_Rust 1573_flipLR.JPG,doente,0.9965
Corn_(maize)___Common_rust__RS_Rust 1574_flipLR.JPG,doente,0.9982
Corn_(maize)___Common_rust__RS_Rust 1575.JPG,doente,0.9908
Corn_(maize)___Common_rust__RS_Rust 1575_flipLR.JPG,doente,0.9948
Corn_(maize)___Common_rust__RS_Rust 1576_flipLR.JPG,doente,0.9995
Corn_(maize)___Common_rust__RS_Rust 1577.JPG,doente,0.9363
Corn_(maize)___Common_rust__RS_Rust 1578.JPG,doente,0.871
Corn_(maize)___Common_rust__RS_Rust 1578_flipLR.JPG,doente,0.7093
Corn_(maize)___Common_rust__RS_Rust 1579_flipLR.JPG,doente,0.9999
Corn_(maize)___Common_rust__RS_Rust 1580.JPG,doente,0.9983
Corn_(maize)___Common_rust__RS_Rust 1580_flipLR.JPG,doente,0.9976
Corn_(maize)___Northern_Leaf_Blight_005318c8-a5fa-4420-843b-23bdda7322c2___RS_NLB 3853 copy.jpg,doente,0.9998
Corn_(maize)___Northern_Leaf_Blight_005318c8-a5fa-4420-843b-23bdda7322c2___RS_NLB 3853 copy_180deg.jpg,doente,0.9999
Corn_(maize)___Northern_Leaf_Blight_005318c8-a5fa-4420-843b-23bdda7322c2___RS_NLB 3853 copy_flipTB.jpg,doente,0.9999
Corn_(maize)___Northern_Leaf_Blight_0079c731-80f5-4fea-b6a2-4ff23a7ce139___RS_NLB 4121.JPG,doente,0.9975
Corn_(maize)___Northern_Leaf_Blight_0079c731-80f5-4fea-b6a2-4ff23a7ce139___RS_NLB 4121_180deg.JPG,doente,0.9725
Corn_(maize)___Northern_Leaf_Blight_0079c731-80f5-4fea-b6a2-4ff23a7ce139___RS_NLB 4121_flipTB.JPG,doente,0.9848
Corn_(maize)___Northern_Leaf_Blight_0118e276-ee7b-4fed-961d-057590ae9f7f___RS_NLB 4666 copy 2.jpg,doente,0.9762
Corn_(maize)___Northern_Leaf_Blight_0118e276-ee7b-4fed-961d-057590ae9f7f___RS_NLB 4666 copy 2_180deg.jpg,doente,0.9869
Corn_(maize)___Northern_Leaf_Blight_0118e276-ee7b-4fed-961d-057590ae9f7f___RS_NLB 4666 copy 2_flipTB.jpg,doente,0.9735
Corn_(maize)___Northern_Leaf_Blight_011b766d-7744-420d-a1a1-57bdff9b4ddd___RS_NLB 4128.JPG,doente,0.8649
Corn_(maize)___Northern_Leaf_Blight_019e3ef7-aae4-4fd3-b95f-b4e914df7a39___RS_NLB 4284.JPG,doente,0.9991
Corn_(maize)___Northern_Leaf_Blight_022817bd-6a93-4b0a-ac39-1cc4094128b1___RS_NLB 3476_180deg.JPG,doente,1.0
Corn_(maize)___Northern_Leaf_Blight_022817bd-6a93-4b0a-ac39-1cc4094128b1___RS_NLB 3476_flipTB.JPG,doente,1.0
Corn_(maize)___Northern_Leaf_Blight_024fb674-fdcb-4777-a8d6-8a13abb58d8f___RS_NLB 3992.JPG,doente,0.9933
Corn_(maize)___Northern_Leaf_Blight_02504be2-4192-42f3-957d-df2841103562___RS_NLB 3955 copy.jpg,doente,0.9904
Corn_(maize)___Northern_Leaf_Blight_02504be2-4192-42f3-957d-df2841103562___RS_NLB 3955 copy_180deg.jpg,doente,0.9953
Corn_(maize)___Northern_Leaf_Blight_02504be2-4192-42f3-957d-df2841103562___RS_NLB 3955 copy_flipTB.jpg,doente,0.9923
Corn_(maize)___Northern_Leaf_Blight_028159fc-995e-455a-8d60-6d377580a898___RS_NLB 4023.JPG,doente,0.935
Corn_(maize)___Northern_Leaf_Blight_028159fc-995e-455a-8d60-6d377580a898___RS_NLB 4023_flipTB.JPG,doente,0.9824
Corn_(maize)___Northern_Leaf_Blight_02eee796-1a1e-4d63-8247-a6aac6bfb272___RS_NLB 3546.JPG,doente,0.9975
Corn_(maize)___Northern_Leaf_Blight_033219ed-54a8-4f95-ab72-c87b90189006___RS_NLB 3818 copy 2.jpg,doente,0.9868
Corn_(maize)___Northern_Leaf_Blight_033219ed-54a8-4f95-ab72-c87b90189006___RS_NLB 3818 copy 2_180deg.jpg,doente,0.9596
Corn_(maize)___Northern_Leaf_Blight_033219ed-54a8-4f95-ab72-c87b90189006___RS_NLB 3818 copy 2_flipTB.jpg,doente,0.9577
